# Bison's numbered productions for lily/parser.yy at v2.27.2.
# rule-number<TAB>left-hand-side<TAB>right-hand-side ('e' greek epsilon = empty)
128	book_body	book_body score_block
129	book_body	book_body composite_music
130	book_body	book_body full_markup
131	book_body	book_body full_markup_list
132	book_body	book_body SCM_TOKEN
133	book_body	book_body embedded_scm_active
134	$@5	ε
135	book_body	book_body $@5 lilypond_header
136	book_body	book_body error
137	bookpart_block	"\\bookpart" '{' bookpart_body '}'
138	bookpart_body	ε
139	bookpart_body	BOOK_IDENTIFIER
140	bookpart_body	bookpart_body paper_block
141	bookpart_body	bookpart_body score_block
142	bookpart_body	bookpart_body composite_music
143	bookpart_body	bookpart_body full_markup
144	bookpart_body	bookpart_body full_markup_list
145	bookpart_body	bookpart_body SCM_TOKEN
146	bookpart_body	bookpart_body embedded_scm_active
147	$@6	ε
148	bookpart_body	bookpart_body $@6 lilypond_header
149	bookpart_body	bookpart_body error
150	score_block	"\\score" '{' score_body '}'
151	score_body	score_items
152	score_body	score_body error
153	score_item	embedded_scm
154	score_item	music
155	score_item	output_def
156	score_items	ε
157	score_items	score_items score_item
158	$@7	ε
159	score_items	score_items $@7 lilypond_header
160	paper_block	output_def
161	output_def	output_def_body '}'
162	output_def_head	"\\paper"
163	output_def_head	"\\midi"
164	output_def_head	"\\layout"
165	output_def_head_with_mode_switch	output_def_head
166	music_or_context_def	music_assign
167	music_or_context_def	context_def_spec_block
168	output_def_body	output_def_head_with_mode_switch '{'
169	output_def_body	output_def_body assignment
170	output_def_body	output_def_body embedded_scm_active
171	output_def_body	output_def_body SCM_TOKEN
172	$@8	ε
173	output_def_body	output_def_body $@8 music_or_context_def
174	output_def_body	output_def_body error
175	tempo_event	"\\tempo" steno_duration '=' tempo_range
176	tempo_event	"\\tempo" text steno_duration '=' tempo_range
177	tempo_event	"\\tempo" text
178	music_list	ε
179	music_list	music_list music_embedded
180	music_list	music_list error
181	braced_music_list	'{' music_list '}'
182	music	music_assign
183	music	lyric_element_music
184	music	pitch_as_music
185	pitch_as_music	pitch_or_music
186	music_embedded	music
187	music_embedded	post_event
188	music_embedded	music_embedded_backup
189	music_embedded	music_embedded_backup "(backed-up?)" lyric_element_music
190	music_embedded	duration post_events
191	music_embedded_backup	embedded_scm
192	music_assign	simple_music
193	music_assign	composite_music
194	repeated_music	"\\repeat" simple_string unsigned_integer music
195	repeated_music	"\\repeat" simple_string unsigned_integer music alternative_music
196	alternative_music	"\\alternative" basic_music
197	sequential_music	"\\sequential" braced_music_list
198	sequential_music	braced_music_list
199	simultaneous_music	"\\simultaneous" braced_music_list
200	simultaneous_music	"<<" music_list ">>"
201	simple_music	event_chord
202	simple_music	music_property_def
203	simple_music	context_change
204	$@9	ε
205	context_modification	"\\with" $@9 '{' context_mod_list '}'
206	context_modification	"\\with" context_modification_arg
207	context_modification_arg	embedded_scm
208	context_modification_arg	MUSIC_IDENTIFIER
209	optional_context_mods	context_modification_mods_list
210	context_modification_mods_list	ε
211	context_modification_mods_list	context_modification_mods_list context_modification
212	context_mod_list	ε
213	context_mod_list	context_mod_list context_mod
214	context_mod_list	context_mod_list context_mod_arg
215	context_prefix	"\\context" symbol optional_id optional_context_mods
216	context_prefix	"\\new" symbol optional_id optional_context_mods
217	new_lyrics	"\\addlyrics" optional_context_mods lyric_mode_music
218	new_lyrics	new_lyrics "\\addlyrics" optional_context_mods lyric_mode_music
219	basic_music	music_function_call
220	basic_music	repeated_music
221	basic_music	alternative_music
222	basic_music	music_bare
223	basic_music	"\\lyricsto" simple_string lyric_mode_music
224	basic_music	"\\lyricsto" symbol '=' simple_string lyric_mode_music
225	contextable_music	basic_music
226	contextable_music	pitch_as_music
227	contextable_music	event_chord
228	contexted_basic_music	context_prefix contextable_music new_lyrics
229	contexted_basic_music	context_prefix contextable_music
230	contexted_basic_music	context_prefix contexted_basic_music
231	composite_music	basic_music
232	composite_music	contexted_basic_music
233	composite_music	basic_music new_lyrics
234	music_bare	mode_changed_music
235	music_bare	MUSIC_IDENTIFIER
236	music_bare	grouped_music_list
237	grouped_music_list	simultaneous_music
238	grouped_music_list	sequential_music
239	symbol_list_arg	SYMBOL_LIST
240	symbol_list_arg	SYMBOL_LIST '.' symbol_list_rev
241	symbol_list_arg	SYMBOL_LIST ',' symbol_list_rev
242	symbol_list_rev	symbol_list_part
243	symbol_list_rev	symbol_list_rev '.' symbol_list_part
244	symbol_list_rev	symbol_list_rev ',' symbol_list_part
245	symbol_list_part	symbol_list_part_bare
246	symbol_list_part	embedded_scm_bare
247	symbol_list_element	STRING
248	symbol_list_element	UNSIGNED
249	symbol_list_part_bare	SYMBOL
250	symbol_list_part_bare	symbol_list_element
251	function_arglist_nonbackup	function_arglist_common
252	function_arglist_nonbackup	"optional?" "scheme?" function_arglist_nonbackup post_event_nofinger
253	function_arglist_nonbackup	"optional?" "scheme?" function_arglist_nonbackup '-' UNSIGNED
254	function_arglist_nonbackup	"optional?" "scheme?" function_arglist_nonbackup '-' REAL
255	function_arglist_nonbackup	"optional?" "scheme?" function_arglist_nonbackup '-' NUMBER_IDENTIFIER
256	function_arglist_nonbackup	"optional?" "scheme?" function_arglist_nonbackup embedded_scm_arg
257	function_arglist_nonbackup	"optional?" "scheme?" function_arglist_nonbackup bare_number_common
258	function_arglist_nonbackup	function_arglist_nonbackup_reparse "(reparsed?)" pitch_or_music
259	function_arglist_nonbackup	function_arglist_nonbackup_reparse "(reparsed?)" duration
260	function_arglist_nonbackup	function_arglist_nonbackup_reparse "(reparsed?)" reparsed_rhythm
261	function_arglist_nonbackup	function_arglist_nonbackup_reparse "(reparsed?)" bare_number_common
262	function_arglist_nonbackup	function_arglist_nonbackup_reparse "(reparsed?)" SCM_ARG
263	function_arglist_nonbackup	function_arglist_nonbackup_reparse "(reparsed?)" lyric_element_music
264	function_arglist_nonbackup	function_arglist_nonbackup_reparse "(reparsed?)" symbol_list_arg
265	reparsed_rhythm	DURATION_ARG dots multipliers post_events
266	function_arglist_nonbackup_reparse	"optional?" "scheme?" function_arglist_nonbackup SCM_IDENTIFIER
267	function_arglist_nonbackup_reparse	"optional?" "scheme?" function_arglist_nonbackup pitch
268	function_arglist_nonbackup_reparse	"optional?" "scheme?" function_arglist_nonbackup steno_tonic_pitch
269	function_arglist_nonbackup_reparse	"optional?" "scheme?" function_arglist_nonbackup STRING
270	function_arglist_nonbackup_reparse	"optional?" "scheme?" function_arglist_nonbackup SYMBOL
271	function_arglist_nonbackup_reparse	"optional?" "scheme?" function_arglist_nonbackup full_markup
272	function_arglist_nonbackup_reparse	"optional?" "scheme?" function_arglist_nonbackup UNSIGNED
273	function_arglist_nonbackup_reparse	"optional?" "scheme?" function_arglist_nonbackup DURATION_IDENTIFIER
274	function_arglist_backup	function_arglist_common
275	function_arglist_backup	"optional?" "scheme?" function_arglist_backup embedded_scm_arg
276	function_arglist_backup	"optional?" "scheme?" function_arglist_backup post_event_nofinger
277	function_arglist_backup	"optional?" "scheme?" function_arglist_backup pitch
278	function_arglist_backup	"optional?" "scheme?" function_arglist_backup steno_tonic_pitch
279	function_arglist_backup	"optional?" "scheme?" function_arglist_backup full_markup
280	function_arglist_backup	"optional?" "scheme?" function_arglist_backup UNSIGNED
281	function_arglist_backup	"optional?" "scheme?" function_arglist_backup REAL
282	function_arglist_backup	"optional?" "scheme?" function_arglist_backup NUMBER_IDENTIFIER
283	function_arglist_backup	"optional?" "scheme?" function_arglist_backup '-' UNSIGNED
284	function_arglist_backup	"optional?" "scheme?" function_arglist_backup '-' REAL
285	function_arglist_backup	"optional?" "scheme?" function_arglist_backup '-' NUMBER_IDENTIFIER
286	function_arglist_backup	"optional?" "scheme?" function_arglist_backup DURATION_IDENTIFIER
287	function_arglist_backup	"optional?" "scheme?" function_arglist_backup SCM_IDENTIFIER
288	function_arglist_backup	"optional?" "scheme?" function_arglist_backup STRING
289	function_arglist_backup	"optional?" "scheme?" function_arglist_backup SYMBOL
290	function_arglist_backup	function_arglist_backup "(reparsed?)" pitch_or_music
291	function_arglist_backup	function_arglist_backup "(reparsed?)" bare_number_common
292	function_arglist_backup	function_arglist_backup "(reparsed?)" duration
293	function_arglist_backup	function_arglist_backup "(reparsed?)" reparsed_rhythm
294	function_arglist_backup	function_arglist_backup "(reparsed?)" symbol_list_arg
295	function_arglist	function_arglist_nonbackup
296	function_arglist	"optional?" "scheme?" function_arglist_skip_nonbackup "\\default"
297	function_arglist_skip_nonbackup	function_arglist_nonbackup
298	function_arglist_skip_nonbackup	"optional?" "scheme?" function_arglist_skip_nonbackup
299	function_arglist_partial	"scheme?" function_arglist_optional
300	function_arglist_partial	"scheme?" function_arglist_partial_optional
301	function_arglist_partial	"optional?" "scheme?" function_arglist_nonbackup
302	function_arglist_partial	"optional?" "scheme?" function_arglist_partial
303	function_arglist_partial_optional	"scheme?" function_arglist_optional
304	function_arglist_partial_optional	"scheme?" function_arglist_partial_optional
305	function_arglist_partial_optional	"optional?" "scheme?" function_arglist_backup
306	function_arglist_partial_optional	"optional?" "scheme?" function_arglist_partial_optional
307	function_arglist_common	EXPECT_NO_MORE_ARGS
308	function_arglist_common	"scheme?" function_arglist_optional embedded_scm_arg
309	function_arglist_common	"scheme?" function_arglist_optional bare_number_common
310	function_arglist_common	"scheme?" function_arglist_optional post_event_nofinger
311	function_arglist_common	"scheme?" function_arglist_optional '-' NUMBER_IDENTIFIER
312	function_arglist_common	function_arglist_common_reparse "(reparsed?)" SCM_ARG
313	function_arglist_common	function_arglist_common_reparse "(reparsed?)" lyric_element_music
314	function_arglist_common	function_arglist_common_reparse "(reparsed?)" pitch_or_music
315	function_arglist_common	function_arglist_common_reparse "(reparsed?)" bare_number_common
316	function_arglist_common	function_arglist_common_reparse "(reparsed?)" duration
317	function_arglist_common	function_arglist_common_reparse "(reparsed?)" reparsed_rhythm
318	function_arglist_common	function_arglist_common_reparse "(reparsed?)" symbol_list_arg
319	function_arglist_common_reparse	"scheme?" function_arglist_optional SCM_IDENTIFIER
320	function_arglist_common_reparse	"scheme?" function_arglist_optional pitch
321	function_arglist_common_reparse	"scheme?" function_arglist_optional steno_tonic_pitch
322	function_arglist_common_reparse	"scheme?" function_arglist_optional STRING
323	function_arglist_common_reparse	"scheme?" function_arglist_optional SYMBOL
324	function_arglist_common_reparse	"scheme?" function_arglist_optional full_markup
325	function_arglist_common_reparse	"scheme?" function_arglist_optional UNSIGNED
326	function_arglist_common_reparse	"scheme?" function_arglist_optional DURATION_IDENTIFIER
327	function_arglist_common_reparse	"scheme?" function_arglist_optional '-' UNSIGNED
328	function_arglist_common_reparse	"scheme?" function_arglist_optional '-' REAL
329	function_arglist_optional	function_arglist_backup
