# Every production in the vendored lily/parser.yy, at the v2.27.2 pin.
# Generated by RuleManifest.Render; committed data, regenerated only on a
# deliberate re-sync of parser-mirror/. See Actions/RuleManifest.cs.
#
# has-action<TAB>parser.yy-line<TAB>rule-identity
action	921	partial_function: script_dir markup_mode markup_partial_function
action	931	partial_function: script_dir partial_function_scriptable
action	937	partial_function: script_dir
action	945	context_def_spec_block: CONTEXT '{' context_def_spec_body '}'
-	958	context_mod_arg: embedded_scm
action	960	$@4: /* empty */
action	960	context_mod_arg: $@4 composite_music
action	972	context_def_spec_body: /* empty */
action	976	context_def_spec_body: context_def_spec_body context_mod
action	986	context_def_spec_body: context_def_spec_body context_modification
action	997	context_def_spec_body: context_def_spec_body context_mod_arg
action	1024	book_block: BOOK '{' book_body '}'
action	1036	book_body: /* empty */
action	1047	book_body: BOOK_IDENTIFIER
action	1050	book_body: book_body paper_block
action	1054	book_body: book_body bookpart_block
action	1058	book_body: book_body score_block
action	1062	book_body: book_body composite_music
action	1066	book_body: book_body full_markup
action	1070	book_body: book_body full_markup_list
action	1074	book_body: book_body SCM_TOKEN
action	1078	book_body: book_body embedded_scm_active
action	1107	$@5: /* empty */
-	1107	book_body: book_body $@5 lilypond_header
action	1111	book_body: book_body error
action	1119	bookpart_block: BOOKPART '{' bookpart_body '}'
action	1127	bookpart_body: /* empty */
action	1133	bookpart_body: BOOK_IDENTIFIER
action	1136	bookpart_body: bookpart_body paper_block
action	1139	bookpart_body: bookpart_body score_block
action	1143	bookpart_body: bookpart_body composite_music
action	1147	bookpart_body: bookpart_body full_markup
action	1151	bookpart_body: bookpart_body full_markup_list
action	1155	bookpart_body: bookpart_body SCM_TOKEN
action	1159	bookpart_body: bookpart_body embedded_scm_active
action	1189	$@6: /* empty */
-	1189	bookpart_body: bookpart_body $@6 lilypond_header
action	1196	bookpart_body: bookpart_body error
action	1203	score_block: SCORE '{' score_body '}'
action	1210	score_body: score_items
action	1228	score_body: score_body error
-	1233	score_item: embedded_scm
-	1235	score_item: music
-	1236	score_item: output_def
action	1239	score_items: /* empty */
action	1244	score_items: score_items score_item
action	1304	$@7: /* empty */
action	1304	score_items: score_items $@7 lilypond_header
action	1326	paper_block: output_def
action	1340	output_def: output_def_body '}'
action	1350	output_def_head: PAPER
action	1357	output_def_head: MIDI
action	1362	output_def_head: LAYOUT
action	1370	output_def_head_with_mode_switch: output_def_head
-	1382	music_or_context_def: music_assign
-	1384	music_or_context_def: context_def_spec_block
action	1387	output_def_body: output_def_head_with_mode_switch '{'
action	1395	output_def_body: output_def_body assignment
action	1399	output_def_body: output_def_body embedded_scm_active
action	1427	output_def_body: output_def_body SCM_TOKEN
action	1433	$@8: /* empty */
action	1433	output_def_body: output_def_body $@8 music_or_context_def
action	1450	output_def_body: output_def_body error
action	1455	tempo_event: TEMPO steno_duration '=' tempo_range
action	1459	tempo_event: TEMPO text steno_duration '=' tempo_range
action	1462	tempo_event: TEMPO text %prec ':'
action	1470	music_list: /* empty */
action	1474	music_list: music_list music_embedded
action	1478	music_list: music_list error
action	1487	braced_music_list: '{' music_list '}'
-	1494	music: music_assign
-	1495	music: lyric_element_music
-	1496	music: pitch_as_music
action	1499	pitch_as_music: pitch_or_music
-	1511	music_embedded: music
-	1513	music_embedded: post_event
action	1514	music_embedded: music_embedded_backup
action	1518	music_embedded: music_embedded_backup BACKUP lyric_element_music
action	1522	music_embedded: duration post_events %prec ':'
action	1536	music_embedded_backup: embedded_scm
-	1554	music_assign: simple_music
-	1556	music_assign: composite_music %prec COMPOSITE
action	1559	repeated_music: REPEAT simple_string unsigned_integer music
action	1564	repeated_music: REPEAT simple_string unsigned_integer music alternative_music
action	1570	alternative_music: ALTERNATIVE basic_music
action	1576	sequential_music: SEQUENTIAL braced_music_list
action	1580	sequential_music: braced_music_list
action	1585	simultaneous_music: SIMULTANEOUS braced_music_list
action	1589	simultaneous_music: DOUBLE_ANGLE_OPEN music_list DOUBLE_ANGLE_CLOSE
-	1596	simple_music: event_chord
-	1598	simple_music: music_property_def
-	1599	simple_music: context_change
action	1602	$@9: /* empty */
action	1602	context_modification: WITH $@9 '{' context_mod_list '}'
action	1611	context_modification: WITH context_modification_arg
-	1629	context_modification_arg: embedded_scm
-	1631	context_modification_arg: MUSIC_IDENTIFIER
action	1638	optional_context_mods: context_modification_mods_list
action	1652	context_modification_mods_list: /* empty */
action	1656	context_modification_mods_list: context_modification_mods_list context_modification
action	1668	context_mod_list: /* empty */
action	1672	context_mod_list: context_mod_list context_mod
action	1676	context_mod_list: context_mod_list context_mod_arg
action	1689	context_prefix: CONTEXT symbol optional_id optional_context_mods
action	1693	context_prefix: NEWCONTEXT symbol optional_id optional_context_mods
action	1698	new_lyrics: ADDLYRICS optional_context_mods lyric_mode_music
action	1702	new_lyrics: new_lyrics ADDLYRICS optional_context_mods lyric_mode_music
-	1723	basic_music: music_function_call
-	1725	basic_music: repeated_music
-	1726	basic_music: alternative_music
-	1727	basic_music: music_bare
action	1728	basic_music: LYRICSTO simple_string lyric_mode_music
action	1731	basic_music: LYRICSTO symbol '=' simple_string lyric_mode_music
-	1737	contextable_music: basic_music
-	1739	contextable_music: pitch_as_music
-	1740	contextable_music: event_chord
action	1743	contexted_basic_music: context_prefix contextable_music new_lyrics %prec COMPOSITE
action	1751	contexted_basic_music: context_prefix contextable_music %prec COMPOSITE
action	1755	contexted_basic_music: context_prefix contexted_basic_music
-	1761	composite_music: basic_music %prec COMPOSITE
-	1763	composite_music: contexted_basic_music
action	1764	composite_music: basic_music new_lyrics %prec COMPOSITE
-	1770	music_bare: mode_changed_music
-	1772	music_bare: MUSIC_IDENTIFIER
-	1773	music_bare: grouped_music_list
action	1776	grouped_music_list: simultaneous_music
action	1778	grouped_music_list: sequential_music
-	1834	symbol_list_arg: SYMBOL_LIST
action	1836	symbol_list_arg: SYMBOL_LIST '.' symbol_list_rev
action	1840	symbol_list_arg: SYMBOL_LIST ',' symbol_list_rev
-	1846	symbol_list_rev: symbol_list_part
action	1848	symbol_list_rev: symbol_list_rev '.' symbol_list_part
action	1852	symbol_list_rev: symbol_list_rev ',' symbol_list_part
-	1860	symbol_list_part: symbol_list_part_bare
action	1862	symbol_list_part: embedded_scm_bare
action	1873	symbol_list_element: STRING
-	1878	symbol_list_element: UNSIGNED
action	1882	symbol_list_part_bare: SYMBOL
action	1892	symbol_list_part_bare: symbol_list_element
-	1898	function_arglist_nonbackup: function_arglist_common
action	1900	function_arglist_nonbackup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_nonbackup post_event_nofinger
action	1904	function_arglist_nonbackup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_nonbackup '-' UNSIGNED
action	1916	function_arglist_nonbackup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_nonbackup '-' REAL
action	1922	function_arglist_nonbackup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_nonbackup '-' NUMBER_IDENTIFIER
action	1928	function_arglist_nonbackup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_nonbackup embedded_scm_arg
action	1935	function_arglist_nonbackup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_nonbackup bare_number_common
action	1939	function_arglist_nonbackup: function_arglist_nonbackup_reparse REPARSE pitch_or_music
action	1949	function_arglist_nonbackup: function_arglist_nonbackup_reparse REPARSE duration
action	1953	function_arglist_nonbackup: function_arglist_nonbackup_reparse REPARSE reparsed_rhythm
