# Grob interfaces declared by C++ ADD_INTERFACE macros in LilyPond v2.27.2
# (commit 2d621459bd44cb1758f822a69757242eab843060), extracted from lily/*.cc.
#
# Upstream registers these from static initialisers before any Scheme runs; the
# port registers them from this table at CreateInterpreter, for the same reason
# and at the same point in the sequence. The interfaces declared in Scheme by
# ly:add-interface (scm/define-grob-interfaces.scm) are a SEPARATE set and load
# afterwards, exactly as upstream -- where the two overlap, Scheme wins, because
# it runs later and ly:add-interface overwrites.
#
# The interface symbol is derived the way lily/grob-interface.cc add_interface
# derives it: camel_case_to_lisp_identifier of the C++ class name, then
# "-interface" appended unless it is already the suffix.
#
# Columns: interface-symbol  cxx-class  upstream-file  properties  description
# Properties are space-separated (upstream parse_symbol_list); description
# newlines are written as \n escapes so every record is one line.
#
# THIS FILE IS DERIVED FROM GPL-3 SOURCE. See THIRD-PARTY-NOTICES.txt.
flag-interface	Flag	flag.cc	glyph-name style stroke-style	A flag that gets attached to a stem.  The @code{style} property is a symbol\ndetermining what style of flag glyph is typeset on a @code{Stem} grob.  Valid\noptions include @code{'()} (for standard flags), @code{'mensural},\n@code{'stacked}, and @code{'no-flag} (which switches off the flag).
font-interface	Font_interface	font-interface.cc	font fonts font-encoding font-family font-features font-name font-series font-shape font-size font-stretch font-variant	Any symbol that is typeset through fixed sets of glyphs, (i.e., fonts).
gregorian-ligature-interface	Gregorian_ligature	gregorian-ligature.cc	virga stropha inclinatum auctum descendens ascendens oriscus quilisma deminutum cavum linea pes-or-flexa context-info prefix-set	A gregorian ligature.
grid-line-interface	Grid_line_interface	grid-line-interface.cc	elements thickness	A line that is spanned between grid-points.
grid-point-interface	Grid_point_interface	grid-line-interface.cc		A spanning point for grid lines.
grob-interface	Grob	grob.cc	X-extent X-offset Y-extent Y-offset after-line-breaking avoid-slur axis-group-parent-X axis-group-parent-Y before-line-breaking cause color cross-staff extra-offset footnote-music forced-spacing horizontal-skylines id interfaces layer meta minimum-X-extent minimum-Y-extent output-attributes parenthesis-id parenthesis-friends parenthesized pure-Y-offset-in-progress rotation show-horizontal-skylines show-vertical-skylines skyline-horizontal-padding springs-and-rods staff-symbol stencil transparent vertically-spanning-surrogate vertical-skylines whiteout whiteout-color whiteout-style	A grob represents a piece of music notation.\n\nAll grobs have an X and Y@tie{}position on the page.  These X and\nY@tie{}positions are stored in a relative format, thus they can easily be\ncombined by stacking them, hanging one grob to the side of another, or coupling\nthem into grouping objects.\n\nEach grob has a reference point (a.k.a.@: parent): The position of a grob is\nstored relative to that reference point.  For example, the X@tie{}reference\npoint of a staccato dot usually is the note head that it applies to.  When the\nnote head is moved, the staccato dot moves along automatically.\n\nA grob is often associated with a symbol, but some grobs do not print any\nsymbols.  They take care of grouping objects.  For example, there is a separate\ngrob that stacks staves vertically.  The @iref{NoteCollision} object is also an\nabstract grob: It only moves around chords, but doesn't print anything.\n\nGrobs have properties (Scheme variables) that can be read and set.  Two types\nof them exist: immutable and mutable.  Immutable variables define the default\nstyle and behavior.  They are shared between many objects.  They can be changed\nusing @code{\\override} and @code{\\revert}.  Mutable properties are variables\nthat are specific to one grob.  Typically, lists of other objects, or results\nfrom computations are stored in mutable properties.  In particular, every call\nto @code{ly:grob-set-property!} (or its C++ equivalent) sets a mutable\nproperty.\n\nThe properties @code{after-line-breaking} and @code{before-line-breaking} are\ndummies that are not user-serviceable.
hairpin-interface	Hairpin	hairpin.cc	adjacent-spanners circled-tip concurrent-hairpins broken-bound-padding bound-padding endpoint-alignments grow-direction height shorten-pair	A hairpin crescendo or decrescendo.
hara-kiri-group-spanner-interface	Hara_kiri_group_spanner	hara-kiri-group-spanner.cc	items-worth-living important-column-ranks keep-alive-with make-dead-when remove-empty remove-first remove-layer	A group spanner that keeps track of interesting items.  If it doesn't contain\nany after line breaking, it removes itself and all its children.  Greater\ncontrol can be exercised via @code{remove-layer} which can prioritize layers so\nonly the lowest-numbered non-empty layer is retained; make the layer\nindependent of the group; or make it dependent on any other member of the group
horizontal-bracket-interface	Horizontal_bracket	horizontal-bracket.cc	bracket-flare bracket-text break-overshoot columns dashed-edge edge-height shorten-pair connect-to-neighbor	A horizontal bracket encompassing notes.
horizontal-line-spanner-interface	Horizontal_line_spanner	line-spanner.cc	bound-details gap left-bound-info left-neighbor note-columns right-bound-info right-neighbor thickness to-barline	This interface is a subset of the @iref{line-spanner-interface}, for\nuse with line spanners that are always horizontal (such as crescendo\nspanners).  The @code{details.Y} subproperty is irrelevant.  Grobs\nhaving this interface can be side-positioned vertically.
