# CodeBrix.LilyPort — the translator manifest (upstream LilyPond 2.27.2).
#
# Every translator upstream declares, so gate G4 ("all translators registered and
# reached; MissingTranslators empty") is COMPUTED rather than remembered. Vendored so
# no test step needs the read-only ~/GitHome/lilypond tree (standing rule 7).
#
# Columns: kind <TAB> upstream-name <TAB> declaring-file
#   cpp     ADD_TRANSLATOR       -- a concrete engraver or performer
#   group   ADD_TRANSLATOR_GROUP -- a translator GROUP (Engraver_group etc.)
#   scheme  ly:register-translator in scm/ -- a Scheme-implemented translator
#
# Totals: 126 cpp + 4 group + 37 scheme = 167.
# NOTE: the condensed plan says "34 Scheme"; the real figure is 37
#       (35 in scheme-engravers.scm + 2 in scheme-performers.scm).
#
kind	name	file
cpp	Spanner_break_forbid_engraver	spanner-break-forbid-engraver.cc
cpp	Staff_collecting_engraver	staff-collecting-engraver.cc
cpp	Staff_performer	staff-performer.cc
cpp	Staff_symbol_engraver	staff-symbol-engraver.cc
cpp	Stem_engraver	stem-engraver.cc
cpp	System_start_delimiter_engraver	system-start-delimiter-engraver.cc
cpp	Tab_note_heads_engraver	tab-note-heads-engraver.cc
cpp	Tab_staff_symbol_engraver	tab-staff-symbol-engraver.cc
cpp	Tempo_performer	tempo-performer.cc
cpp	Text_engraver	text-engraver.cc
cpp	Text_spanner_engraver	text-spanner-engraver.cc
cpp	Tie_engraver	tie-engraver.cc
cpp	Tie_performer	tie-performer.cc
cpp	Time_signature_engraver	time-signature-engraver.cc
cpp	Time_signature_performer	time-signature-performer.cc
cpp	Timing_translator	timing-translator.cc
cpp	Tuplet_engraver	tuplet-engraver.cc
cpp	Tweak_engraver	tweak-engraver.cc
cpp	Vaticana_ligature_engraver	vaticana-ligature-engraver.cc
cpp	Vertical_align_engraver	vertical-align-engraver.cc
cpp	Volta_engraver	volta-engraver.cc
group	Engraver_group	engraver-group.cc
group	Performer_group	performer-group.cc
group	Score_engraver	score-engraver.cc
group	Score_performer	score-performer.cc
scheme	Alteration_glyph_engraver	scheme-engravers.scm
scheme	Apply_output_engraver	scheme-engravers.scm
scheme	Beat_engraver	scheme-performers.scm
scheme	Beat_performer	scheme-performers.scm
scheme	Bend_engraver	scheme-engravers.scm
scheme	Bend_spanner_engraver	scheme-engravers.scm
scheme	Breathing_sign_engraver	scheme-engravers.scm
scheme	Centered_bar_number_align_engraver	scheme-engravers.scm
scheme	Chord_name_engraver	scheme-engravers.scm
scheme	Chord_square_engraver	scheme-engravers.scm
scheme	Current_chord_text_engraver	scheme-engravers.scm
scheme	Custos_engraver	scheme-engravers.scm
scheme	Divisio_engraver	scheme-engravers.scm
scheme	Duration_line_engraver	scheme-engravers.scm
scheme	Finger_glide_engraver	scheme-engravers.scm
scheme	Glissando_engraver	scheme-engravers.scm
scheme	Grid_chord_name_engraver	scheme-engravers.scm
scheme	Horizontal_script_engraver	scheme-engravers.scm
scheme	Lyric_repeat_count_engraver	scheme-engravers.scm
scheme	Measure_counter_engraver	scheme-engravers.scm
scheme	Measure_grouping_engraver	scheme-engravers.scm
scheme	Measure_spanner_engraver	scheme-engravers.scm
scheme	Merge_mmrest_numbers_engraver	scheme-engravers.scm
scheme	Merge_rests_engraver	scheme-engravers.scm
scheme	Optional_material_bracket_engraver	scheme-engravers.scm
scheme	Show_control_points_engraver	scheme-engravers.scm
scheme	Signum_repetitionis_engraver	scheme-engravers.scm
scheme	Skip_typesetting_engraver	scheme-engravers.scm
scheme	Span_stem_engraver	scheme-engravers.scm
scheme	Spanner_tracking_engraver	scheme-engravers.scm
scheme	Staff_highlight_engraver	scheme-engravers.scm
scheme	Stanza_number_align_engraver	scheme-engravers.scm
scheme	Stanza_number_engraver	scheme-engravers.scm
scheme	Tab_tie_follow_engraver	scheme-engravers.scm
scheme	Text_mark_engraver	scheme-engravers.scm
scheme	Toe_heel_engraver	scheme-engravers.scm
scheme	Trill_spanner_engraver	scheme-engravers.scm
