ly-define	ly:font-design-size	1	0	0	font-metric-scheme.cc
ly-define	ly:font-file-name	1	0	0	font-metric-scheme.cc
ly-define	ly:font-get-glyph	2	0	0	font-metric-scheme.cc
ly-define	ly:font-glyph-name-to-index	2	0	0	font-metric-scheme.cc
ly-define	ly:font-index-to-charcode	2	0	0	font-metric-scheme.cc
ly-define	ly:font-magnification	1	0	0	font-metric-scheme.cc
ly-define	ly:font-name	1	0	0	font-metric-scheme.cc
ly-define	ly:format	1	0	1	general-scheme.cc
ly-define	ly:format-output	1	0	0	global-context-scheme.cc
ly-define	ly:generic-bound-extent	2	0	0	axis-group-interface-scheme.cc
ly-define	ly:get-all-function-documentation	0	0	0	function-documentation.cc
ly-define	ly:get-all-translators	0	0	0	translator-ctors.cc
ly-define	ly:get-cff-offset	1	1	0	open-type-font-scheme.cc
ly-define	ly:get-context-mods	1	0	0	context-mod-scheme.cc
ly-define	ly:get-font-format	1	1	0	open-type-font-scheme.cc
ly-define	ly:get-option	1	0	0	program-option-scheme.cc
ly-define	ly:get-spacing-spec	2	0	0	page-layout-problem-scheme.cc
ly-define	ly:grob-alist-chain	1	1	0	grob-scheme.cc
ly-define	ly:grob-array->list	1	0	0	grob-array-scheme.cc
ly-define	ly:grob-array-filter	2	0	0	grob-array-scheme.cc
ly-define	ly:grob-array-length	1	0	0	grob-array-scheme.cc
ly-define	ly:grob-array-ref	2	0	0	grob-array-scheme.cc
ly-define	ly:grob-basic-properties	1	0	0	grob-scheme.cc
ly-define	ly:grob-chain-callback	3	0	0	grob-scheme.cc
ly-define	ly:grob-common-refpoint	3	0	0	grob-scheme.cc
ly-define	ly:grob-common-refpoint-of-array	3	0	0	grob-scheme.cc
ly-define	ly:grob-default-font	1	0	0	grob-scheme.cc
ly-define	ly:grob-extent	3	0	0	grob-scheme.cc
ly-define	ly:grob-get-vertical-axis-group-index	1	0	0	grob-scheme.cc
ly-define	ly:grob-interfaces	1	0	0	grob-scheme.cc
ly-define	ly:grob-layout	1	0	0	grob-scheme.cc
ly-define	ly:grob-list->grob-array	1	0	0	grob-array-scheme.cc
ly-define	ly:grob-original	1	0	0	grob-scheme.cc
ly-define	ly:grob-pq<?	2	0	0	grob-pq-engraver.cc
ly-define	ly:grob-property-data	2	0	0	grob-scheme.cc
ly-define	ly:grob-pure-height	4	1	0	grob-scheme.cc
ly-define	ly:grob-pure-property	4	1	0	grob-scheme.cc
ly-define	ly:grob-pure-relative-coordinate	4	0	0	grob-scheme.cc
ly-define	ly:grob-relative-coordinate	3	0	0	grob-scheme.cc
ly-define	ly:grob-robust-relative-extent	3	0	0	grob-scheme.cc
ly-define	ly:grob-script-priority-less	2	0	0	script-column.cc
ly-define	ly:grob-set-nested-property!	3	0	0	grob-scheme.cc
ly-define	ly:grob-set-object!	3	0	0	grob-scheme.cc
ly-define	ly:grob-set-parent!	3	0	0	grob-scheme.cc
ly-define	ly:grob-set-property!	3	0	0	grob-scheme.cc
ly-define	ly:grob-spanned-column-rank-interval	1	0	0	grob-scheme.cc
ly-define	ly:grob-staff-position	1	0	0	staff-symbol-referencer-scheme.cc
ly-define	ly:grob-suicide!	1	0	0	grob-scheme.cc
ly-define	ly:grob-system	1	0	0	grob-scheme.cc
ly-define	ly:grob-translate-axis!	3	0	0	grob-scheme.cc
ly-define	ly:grob-vertical<?	2	0	0	grob-scheme.cc
ly-define	ly:gs-api	2	0	0	general-scheme.cc
ly-define	ly:has-glyph-names?	1	1	0	open-type-font-scheme.cc
ly-define	ly:hash-table-keys	1	0	0	general-scheme.cc
ly-define	ly:inch	1	0	0	dimensions-scheme.cc
ly-define	ly:input-both-locations	1	0	0	input-scheme.cc
ly-define	ly:input-file-line-char-column	1	0	0	input-scheme.cc
ly-define	ly:input-message	2	0	1	input-scheme.cc
ly-define	ly:input-warning	2	0	1	input-scheme.cc
ly-define	ly:interpret-music-expression	2	0	0	global-context-scheme.cc
ly-define	ly:intlog2	1	0	0	duration-scheme.cc
ly-define	ly:item-break-dir	1	0	0	item-scheme.cc
ly-define	ly:item-get-column	1	0	0	item-scheme.cc
ly-define	ly:item?	1	0	0	item-scheme.cc
ly-define	ly:length	1	1	0	stencil-scheme.cc
ly-define	ly:line-interface::line	5	0	0	line-interface-scheme.cc
ly-define	ly:listened-event-class?	2	0	0	dispatcher-scheme.cc
ly-define	ly:listened-event-types	1	0	0	dispatcher-scheme.cc
ly-define	ly:make-book	2	0	1	book-scheme.cc
ly-define	ly:make-book-part	1	0	0	book-scheme.cc
ly-define	ly:make-context-mod	0	1	0	context-mod-scheme.cc
ly-define	ly:make-dispatcher	0	0	0	dispatcher-scheme.cc
ly-define	ly:make-duration	1	3	0	duration-scheme.cc
ly-define	ly:make-global-context	1	0	0	global-context-scheme.cc
ly-define	ly:make-global-translator	1	0	0	global-context-scheme.cc
ly-define	ly:make-grob-properties	1	0	0	context-property.cc
ly-define	ly:make-moment	1	3	0	moment-scheme.cc
ly-define	ly:make-music	1	0	0	music-scheme.cc
ly-define	ly:make-music-function	2	0	0	music-function-scheme.cc
ly-define	ly:make-music-relative!	2	0	0	music-scheme.cc
ly-define	ly:make-output-def	0	0	0	output-def-scheme.cc
ly-define	ly:make-page-label-marker	1	0	0	page-marker-scheme.cc
ly-define	ly:make-page-permission-marker	2	0	0	page-marker-scheme.cc
ly-define	ly:make-paper-outputter	2	1	0	paper-outputter-scheme.cc
ly-define	ly:make-pitch	2	1	0	pitch-scheme.cc
ly-define	ly:make-prob	2	0	1	prob-scheme.cc
ly-define	ly:make-rand-seed	0	0	0	lily-random.cc
ly-define	ly:make-regex	1	0	0	glib-regex-scheme.cc
ly-define	ly:make-rotation	1	1	0	transform-scheme.cc
ly-define	ly:make-scale	1	0	0	scale.cc
ly-define	ly:make-scaling	1	1	0	transform-scheme.cc
ly-define	ly:make-score	1	0	0	score-scheme.cc
ly-define	ly:make-skyline	3	0	0	skyline-scheme.cc
ly-define	ly:make-spring	2	0	0	spring-smob.cc
ly-define	ly:make-stencil	1	2	0	stencil-scheme.cc
ly-define	ly:make-stream-event	1	1	0	stream-event-scheme.cc
ly-define	ly:make-tmpfile-name	1	0	0	lily-random.cc
ly-define	ly:make-transform	0	6	0	transform-scheme.cc
ly-define	ly:make-translation	1	1	0	transform-scheme.cc
ly-define	ly:make-unpure-pure-container	1	1	0	unpure-pure-container.cc
ly-define	ly:message	1	0	1	warn-scheme.cc
ly-define	ly:minimal-breaking	1	0	0	page-breaking-scheme.cc
ly-define	ly:mm	1	0	0	dimensions-scheme.cc
ly-define	ly:module->alist	1	0	0	ly-module.cc
ly-define	ly:module-copy	2	0	0	module-scheme.cc
ly-define	ly:modules-lookup	2	1	0	module-scheme.cc
ly-define	ly:moment-add	2	0	0	moment-scheme.cc
ly-define	ly:moment-div	2	0	0	moment-scheme.cc
ly-define	ly:moment-grace	1	0	0	moment-scheme.cc
